"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01118488","Meriania claussenii","","Melastomataceae","Meriania","claussenii","","(Naudin) Triana","J.F.A. Baumgratz",,"","1490","","J.F.A. Baumgratz; M. Nadruz, M. Bovini & D. Caldas",2016,4,7,"Brazil","Rio de Janeiro","Nova Friburgo","Vale do Jaborandi, mata do sítio do Sr. Léo, margeando o Parque Estadual dos Três Picos. trilha após a casa, em direção ao rio.",-22.317778,-42.716667,"Floresta Ombrófila Densa Alto-Montana alterada. Planta com ramos, pecíolos e inflorescências muito jovens verdes; folhas verdes discolores; frutos adultos, senis, castanhos a cinéreos.","Meriania claussenii (Naudin) Triana","",,"GBIF"
"","JBRJ","RB","RB01182137","Meriania claussenii","","Melastomataceae","Meriania","claussenii","","(Naudin) Triana","M.F.O.Silva",,"","752","","D.R.Gonzaga; M.F.O.Silva",2016,6,25,"Brazil","Rio de Janeiro","Itatiaia","Travessia Rancho Caído, Visconde de Mauá. Parque Nacional do Itatiaia",-22.345,-44.619167,,"Meriania claussenii (Naudin) Triana","",,"GBIF"
"","JBRJ","RB","RB01181515","Meriania claussenii","","Melastomataceae","Meriania","claussenii","","(Naudin) Triana","L. P. G. Rosa",,"","785","","C. Baez; Patrícia da Rosa, Lucas Moraes, Thalis Lima, Isabel Muller, Girso",2016,8,10,"Brazil","Rio de Janeiro","Nova Friburgo","Mata de enconsta próxima ao Rio das Flores. Estrada entre o Sítio Sophronites e a estrada principal. APA Macaé de Cima",-22.436111,-42.524722,"Heliófila. Folhas glabras discolores. Cálice verde, corola alva. Filetes alvos, anteras púrpuras e amareladas. Carpelo alvo na base e róseo.","Meriania claussenii (Naudin) Triana","",,"GBIF"
"","UFPR","UPCB","91309","Meriania claussenii","","Melastomataceae","Meriania","claussenii","","(Naudin) Triana","Rosa, L.P.G.",2016,"","785","","Baez, C. et al.",2016,8,10,"Brazil","Rio de Janeiro","Nova Friburgo","Área de proteção Ambiental de Macaé de Cima. Serra de Macaé de Cima. Mata de encosta próxima ao Rio das Flores. Estrada entre o Sítio Sophronites e a estrada principal.",-22.436111,-42.524722,"Floresta Montana em trechos de mata secundária e mais preservada.. Heliófila. Folhas glabras discolores. Cálice verde, corola alva. Filetes alvos, anteras púrpuras e amareladas. Carpelo alvo na base e róseo. Altura: 13m. Hábito/Forma","Meriania claussenii (Naudin) Triana","",,"GBIF"
"","UFPR","UPCB","92522","Meriania claussenii","","Melastomataceae","Meriania","claussenii","","(Naudin) Triana","Rosa, L.P.G.",2016,"","785","","Baez, C. et al.",2016,8,10,"Brazil","Rio de Janeiro","Nova Friburgo","Área de proteção Ambiental de Macaé de Cima. Serra de Macaé de Cima. Mata de encosta próxima ao Rio das Flores. Estrada entre o Sítio Sophronites e a estrada principal.",-22.436111,-42.524722,"Floresta Montana em trechos de mata secundária e mais preservada.. Heliófila. Folhas glabras discolores. Cálice verde, corola alva. Filetes alvos, anteras púrpuras e amareladas. Carpelo alvo na base e róseo. Altura: 13m. Hábito/Forma","Meriania claussenii (Naudin) Triana","",,"GBIF"
"","UFES","VIES","22000","Meriania claussenii","","Melastomataceae","Meriania","claussenii","","(Naudin) Triana","Zorzanelli, J.P.F.",2013,"","421","","Zorzanelli, J.P.F.; Silva, A.E.",2011,12,,"Brazil","Espírito Santo","Iúna","Serra do Valentim.",,,,"Meriania claussenii (Naudin) Triana","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","53870","Meriania claussenii","","Melastomataceae","Meriania","claussenii","","(Naudin) Triana","B. Chiavegatto",2010,"","55","","J.A. Oliveira; F.S. Souza; J.H.C. Ribeiro",2009,7,15,"Brazil","Minas Gerais","Lima Duarte","Serra Negra, Fazenda Serra Negra, trilha na área B.",,,"Árvore, 15m, em interior de mata, flores brancas, filetes roxos, anteras laranjas.","Meriania claussenii (Naudin) Triana","",,"GBIF"
"","JBRJ","RB","RB00525105","Meriania claussenii","","Melastomataceae","Meriania","claussenii","","(Naudin) Triana","L.A.F. Santos Filho & J.F.A. Baumgratz",2008,"","19","","L.A.F. Santos Filho; J.F.A., Baumgratz; W. Silva; M. Andrade; A.L.O. Moura; M.P. Amorim; S.J. Silva Neto; A.F.N. Brandes",2008,4,20,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia; trilha para os Três Picos, mata de encosta.",,,"ramos, pecíolos verdes; folhas verdes discolores","Meriania claussenii (Naudin) Triana","",,"GBIF"
"","NY","NY","02591393","Meriania claussenii","","Melastomataceae","Meriania","claussenii","","(Naudin) Triana","F. A. Michelangeli",2014,"","7","","M. C. M. P. de Medeiros",2008,6,12,"Brazil","São Paulo",,"Parque Estadual da Serra do Mar, Núcleo Santa Virginia. Microbacia do Córrego Casa de Pedra.",,,,"Meriania claussenii (Naudin) Triana","",,"GBIF"
"","Instituto de Botânica","SP","411833","Meriania claussenii","","Melastomataceae","Meriania","claussenii","","(Naudin) Triana","Michelangeli, FA",2014,"","7","","Medeiros, MCMP",2008,6,12,"Brazil","São Paulo","São Luís do Paraitinga","Parque Estadual da Serra do Mar, Núcleo Santa Virgínia, Microbacia do Córrego Casa de Pedra",,,,"Meriania claussenii (Naudin) Triana","",,"GBIF"
